GDP, households, family, Population, number of household
1,Oldham,"$32,702 ","$79,417 ","$89,911 ","60,316","19,431"
2,Boone,"$28,520 ","$66,549 ","$77,474 ","118,811","43,216"
3,Woodford,"$28,501 ","$56,537 ","$67,094 ","24,939","9,806"
4,Fayette,"$28,345 ","$47,469 ","$66,690 ","295,803","123,043"
5,Shelby,"$27,593 ","$55,296 ","$68,647 ","42,074","15,321"
6,Kenton,"$27,205 ","$53,213 ","$66,170 ","159,720","62,768"
7,Campbell,"$27,096 ","$51,482 ","$68,431 ","90,336","36,069"
8,Franklin,"$26,857 ","$47,976 ","$61,086 ","49,285","20,662"
9,Scott,"$26,838 ","$58,028 ","$68,219 ","47,173","17,408"
10,Jefferson,"$26,473 ","$45,352 ","$59,182 ","741,096","309,175"
11,Spencer,"$25,589 ","$59,326 ","$64,350 ","17,061","6,165"
12,McCracken,"$24,709 ","$41,630 ","$55,789 ","65,565","28,227"
13,Anderson,"$24,516 ","$55,506 ","$63,815 ","21,421","8,369"
14,Jessamine,"$24,097 ","$47,494 ","$55,625 ","48,586","17,642"
15,Clark,"$23,966 ","$46,575 ","$55,906 ","35,613","14,267"
16,Mercer,"$23,645 ","$47,955 ","$55,127 ","21,331","8,682"
17,Trigg,"$23,387 ","$41,825 ","$49,337 ","14,339","5,883"
18,Warren,"$23,206 ","$43,954 ","$57,523 ","113,792","43,674"
19,Marshall,"$23,056 ","$43,326 ","$53,403 ","31,448","13,073"
20,Ballard,"$23,001 ","$41,228 ","$48,246 ","8,249","3,397"
21,Hardin,"$22,997 ","$47,540 ","$56,354 ","105,543","39,853"
22,Bullitt,"$22,791 ","$51,526 ","$59,435 ","74,319","27,673"
23,Boyle,"$22,534 ","$40,720 ","$48,201 ","28,432","11,075"
24,Henderson,"$22,192 ","$40,438 ","$52,775 ","46,250","18,705"
25,Boyd,"$22,064 ","$38,802 ","$51,684 ","49,542","19,787"
26,Daviess,"$22,064 ","$42,821 ","$55,080 ","96,656","38,619"
27,Carroll,"$21,845 ","$43,440 ","$48,110 ","10,811","4,061"
28,Nelson,"$21,763 ","$44,783 ","$52,173 ","43,437","16,826"
29,Owen,"$21,754 ","$46,238 ","$56,794 ","10,841","4,296"
30,Mason,"$21,717 ","$40,523 ","$47,244 ","17,490","7,031"
31,Madison,"$21,536 ","$41,894 ","$55,095 ","82,916","31,973"
32,Greenup,"$21,533 ","$42,377 ","$51,538 ","36,910","14,671"
33,Bourbon,"$21,355 ","$40,849 ","$46,111 ","19,985","7,976"
34,Hopkins,"$21,347 ","$39,312 ","$49,313 ","46,920","18,980"
35,Green,"$21,281 ","$36,575 ","$47,582 ","11,258","4,601"
36,Trimble,"$21,161 ","$47,798 ","$52,308 ","8,809","3,420"
37,Henry,"$21,090 ","$43,612 ","$50,101 ","15,416","5,963"
38,McLean,"$21,071 ","$39,115 ","$46,401 ","9,531","3,833"
39,Calloway,"$20,951 ","$39,194 ","$54,074 ","37,191","15,530"
40,Washington,"$20,873 ","$43,090 ","$49,792 ","11,717","4,507"
41,Livingston,"$20,800 ","$39,075 ","$45,696 ","9,519","3,985"
42,Simpson,"$20,426 ","$41,323 ","$50,486 ","17,327","6,753"
43,Grant,"$20,257 ","$42,475 ","$45,688 ","24,662","8,614"
44,Barren,"$20,067 ","$38,374 ","$48,444 ","42,173","16,999"
45,Harrison,"$20,037 ","$40,582 ","$51,715 ","18,846","7,343"
46,Montgomery,"$20,004 ","$36,034 ","$46,563 ","26,499","10,435"
47,Graves,"$19,976 ","$35,277 ","$45,307 ","37,121","14,978"
48,Hickman,"$19,953 ","$31,836 ","$52,823 ","4,902","2,028"
49,Hancock,"$19,952 ","$44,892 ","$53,352 ","8,565","3,285"
50,Laurel,"$19,604 ","$36,787 ","$43,373 ","58,849","23,014"
51,Pulaski,"$19,540 ","$32,771 ","$42,117 ","63,063","25,722"
52,Pendleton,"$19,523 ","$44,670 ","$52,166 ","14,877","5,494"
53,Caldwell,"$19,498 ","$35,289 ","$48,257 ","12,984","5,393"
54,Crittenden,"$19,463 ","$34,623 ","$45,222 ","9,315","3,781"
55,Logan,"$19,443 ","$34,647 ","$47,141 ","26,835","10,666"
56,Perry,"$19,049 ","$29,547 ","$39,025 ","28,712","11,319"
57,Lyon,"$19,036 ","$42,079 ","$47,944 ","8,314","3,287"
58,Pike,"$18,973 ","$32,563 ","$40,332 ","65,024","26,728"
59,Edmonson,"$18,959 ","$35,808 ","$45,084 ","12,161","4,857"
60,Webster,"$18,879 ","$39,635 ","$49,580 ","13,621","5,272"
61,Meade,"$18,823 ","$43,800 ","$47,457 ","28,602","10,471"
62,Union,"$18,811 ","$39,515 ","$52,500 ","15,007","5,549"
63,Garrard,"$18,735 ","$37,095 ","$46,964 ","16,912","6,668"
64,Bracken,"$18,671 ","$38,481 ","$45,441 ","8,488","3,317"
