GDP, households, family, Population, number of household
1,Oldham,$32702 ,$79417 ,$89911 ,60316,19431
2,Boone,$28520 ,$66549 ,$77474 ,118811,43216
3,Woodford,$28501 ,$56537 ,$67094 ,24939,9806
4,Fayette,$28345 ,$47469 ,$66690 ,295803,123043
5,Shelby,$27593 ,$55296 ,$68647 ,42074,15321
6,Kenton,$27205 ,$53213 ,$66170 ,159720,62768
7,Campbell,$27096 ,$51482 ,$68431 ,90336,36069
8,Franklin,$26857 ,$47976 ,$61086 ,49285,20662
9,Scott,$26838 ,$58028 ,$68219 ,47173,17408
10,Jefferson,$26473 ,$45352 ,$59182 ,741096,309175
11,Spencer,$25589 ,$59326 ,$64350 ,17061,6165
12,McCracken,$24709 ,$41630 ,$55789 ,65565,28227
13,Anderson,$24516 ,$55506 ,$63815 ,21421,8369
14,Jessamine,$24097 ,$47494 ,$55625 ,48586,17642
15,Clark,$23966 ,$46575 ,$55906 ,35613,14267
16,Mercer,$23645 ,$47955 ,$55127 ,21331,8682
17,Trigg,$23387 ,$41825 ,$49337 ,14339,5883
18,Warren,$23206 ,$43954 ,$57523 ,113792,43674
19,Marshall,$23056 ,$43326 ,$53403 ,31448,13073
20,Ballard,$23001 ,$41228 ,$48246 ,8249,3397
21,Hardin,$22997 ,$47540 ,$56354 ,105543,39853
22,Bullitt,$22791 ,$51526 ,$59435 ,74319,27673
23,Boyle,$22534 ,$40720 ,$48201 ,28432,11075
24,Henderson,$22192 ,$40438 ,$52775 ,46250,18705
25,Boyd,$22064 ,$38802 ,$51684 ,49542,19787
26,Daviess,$22064 ,$42821 ,$55080 ,96656,38619
27,Carroll,$21845 ,$43440 ,$48110 ,10811,4061
28,Nelson,$21763 ,$44783 ,$52173 ,43437,16826
29,Owen,$21754 ,$46238 ,$56794 ,10841,4296
30,Mason,$21717 ,$40523 ,$47244 ,17490,7031
31,Madison,$21536 ,$41894 ,$55095 ,82916,31973
32,Greenup,$21533 ,$42377 ,$51538 ,36910,14671
33,Bourbon,$21355 ,$40849 ,$46111 ,19985,7976
34,Hopkins,$21347 ,$39312 ,$49313 ,46920,18980
35,Green,$21281 ,$36575 ,$47582 ,11258,4601
36,Trimble,$21161 ,$47798 ,$52308 ,8809,3420
37,Henry,$21090 ,$43612 ,$50101 ,15416,5963
38,McLean,$21071 ,$39115 ,$46401 ,9531,3833
39,Calloway,$20951 ,$39194 ,$54074 ,37191,15530
40,Washington,$20873 ,$43090 ,$49792 ,11717,4507
41,Livingston,$20800 ,$39075 ,$45696 ,9519,3985
42,Simpson,$20426 ,$41323 ,$50486 ,17327,6753
43,Grant,$20257 ,$42475 ,$45688 ,24662,8614
44,Barren,$20067 ,$38374 ,$48444 ,42173,16999
45,Harrison,$20037 ,$40582 ,$51715 ,18846,7343
46,Montgomery,$20004 ,$36034 ,$46563 ,26499,10435
47,Graves,$19976 ,$35277 ,$45307 ,37121,14978
48,Hickman,$19953 ,$31836 ,$52823 ,4902,2028
49,Hancock,$19952 ,$44892 ,$53352 ,8565,3285
50,Laurel,$19604 ,$36787 ,$43373 ,58849,23014
51,Pulaski,$19540 ,$32771 ,$42117 ,63063,25722
52,Pendleton,$19523 ,$44670 ,$52166 ,14877,5494
53,Caldwell,$19498 ,$35289 ,$48257 ,12984,5393
54,Crittenden,$19463 ,$34623 ,$45222 ,9315,3781
55,Logan,$19443 ,$34647 ,$47141 ,26835,10666
56,Perry,$19049 ,$29547 ,$39025 ,28712,11319
57,Lyon,$19036 ,$42079 ,$47944 ,8314,3287
58,Pike,$18973 ,$32563 ,$40332 ,65024,26728
59,Edmonson,$18959 ,$35808 ,$45084 ,12161,4857
60,Webster,$18879 ,$39635 ,$49580 ,13621,5272
61,Meade,$18823 ,$43800 ,$47457 ,28602,10471
62,Union,$18811 ,$39515 ,$52500 ,15007,5549
63,Garrard,$18735 ,$37095 ,$46964 ,16912,6668
64,Bracken,$18671 ,$38481 ,$45441 ,8488,3317
65,Muhlenberg,$18538 ,$36750 ,$43006 ,31499,12052
66,Johnson,$18486 ,$30820 ,$39631 ,23356,9362
67,Christian,$18476 ,$37061 ,$42416 ,73955,26144
68,LaRue,$18474 ,$38891 ,$47982 ,14193,5615
69,Nicholas,$18452 ,$40259 ,$43410 ,7135,2809
70,Marion,$18445 ,$37488 ,$48914 ,19820,7358
71,Ohio,$18258 ,$36050 ,$43797 ,23842,9176
72,Carter,$18147 ,$32424 ,$40316 ,27720,10760
73,Taylor,$18014 ,$35378 ,$44064 ,24512,9832
74,Russell,$17868 ,$29980 ,$40507 ,17565,7401
75,Gallatin,$17810 ,$41310 ,$47953 ,8589,3160
76,Breckinridge,$17757 ,$37395 ,$43847 ,20059,7827
77,Morgan,$17705 ,$30229 ,$39052 ,13923,4860
78,Fleming,$17629 ,$31236 ,$47798 ,14348,5729
